division,entry,acidification_kgSO2eq,eutrophication_kgNeq,carbon_kgCO2eq,ozone_CFCeq,energy_demand_MJ,mass_kg
Concrete,Cast-in-place concrete; reinforced structural concrete; 10000 psi (70 MPa),1.05E+03,4.91E+01,258637.7805,1.55E-03,130240.6273,1152452.244
Concrete,Cast-in-place concrete; reinforced structural concrete; 3000 psi (20 Mpa),1.23E+04,6.15E+02,3109523.998,1.81E-02,1760010.764,15547910.63
Concrete,Cast-in-place concrete; reinforced structural concrete; 5000 psi (35 Mpa),5.47E+03,2.60E+02,1354920.222,8.14E-03,727793.5172,6199045.157
Concrete,Concrete; custom mix; custom reinforcement,2.84E+03,3.05E+02,1206714.008,5.33E-06,161059.2449,5122045.889
Concrete,Glass fiber reinforced concrete slab,7.34E+02,3.35E+01,153004.3866,5.36E-04,29605.31258,385167.1302
Concrete,Precast concrete paver,2.50E+01,9.15E-01,5256.366345,3.18E-05,477.8119318,22102.87618
Concrete,Reinforced slab; exclusive of deck,9.24E+01,5.06E+00,32306.53258,3.00E-04,58628.90151,24629.53351
Concrete,Stair; cast-in-place concrete,7.39E+00,3.47E-01,1767.751808,9.93E-06,682.6150222,8884.444724
Concrete,Total,2.25E+04,1.27E+03,6122131.046,2.86E-02,2868498.794,28462237.91
Masonry,Glazed brick; generic; ungrouted,1.57E+01,1.33E+00,6270.917669,1.07E-07,3711.773038,22975.92556
Masonry,Hollow-core CMU; ungrouted,1.97E+01,2.10E+00,7444.685921,1.22E-07,4219.406481,50394.18598
Masonry,Solid-core CMU; ungrouted,7.66E+01,7.53E+00,28120.80972,4.77E-07,16655.31571,194166.703
Masonry,Total,1.12E+02,1.10E+01,41836.4133,7.06E-07,24586.49523,267536.8146
Metal,Aluminum; sheet,7.50E+01,1.35E+01,21104.69041,1.21E-03,53335.86389,8642.956604
Metal,Stair; steel with concrete fill,5.39E+01,3.93E+00,13145.39421,7.72E-04,13008.16163,17710.46862
Metal,Steel; angle,1.40E+00,1.06E-01,440.5131383,2.45E-05,378.8864479,419.7432488
Metal,Steel; C-stud metal framing,4.92E+02,3.87E+01,123805.6039,8.00E-03,139604.6339,104752.1117
Metal,Steel; C-stud metal framing with insulation,6.96E+00,3.02E+00,940.0673015,2.55E-06,987.8400128,1152.54003
Metal,Steel; furring channel,2.49E+00,1.96E-01,627.6441729,4.06E-05,707.7388436,531.050699
Metal,Steel; hollow structural section,7.44E+01,5.86E+00,18737.88781,1.21E-03,21129.05946,15854.15566
Metal,Steel; rectangular tubing,1.05E+03,8.28E+01,264835.6058,1.71E-02,298631.6985,224077.813
Metal,Steel; roof decking,2.20E+01,1.25E+00,4001.716321,1.90E-04,3852.522282,2201.854831
Metal,Steel; wide flange shape,6.21E+00,4.70E-01,1947.225074,1.08E-04,1674.813138,1855.41476
Metal,Steel; WT section,1.67E+00,1.26E-01,523.7587282,2.91E-05,450.4861872,499.0638668
Metal,Total,1.79E+03,1.50E+02,450110.1069,2.87E-02,533761.7042,377697.173
Wood/Plastics/Composite,Acrylic solid surface (acrylic polymer and ATH),4.94E-01,2.57E-02,100.7380387,1.15E-08,273.8617798,18.44265475
Wood/Plastics/Composite,Cement bonded particle board,1.71E+01,2.71E+00,3487.860246,1.61E-05,6803.045519,3934.599705
Wood/Plastics/Composite,Fiberglass mat gypsum sheathing,1.04E+02,1.05E+01,24537.02562,9.32E-04,25707.14178,48005.21007
Wood/Plastics/Composite,Plywood; exterior grade,3.47E+00,3.55E-01,759.0162645,-2.88E-08,11012.86512,794.1382923
Wood/Plastics/Composite,Total,1.25E+02,1.36E+01,28884.64017,9.48E-04,43796.9142,52752.39072
